,name,init_flux,starting_fitness,end_fitness
0,p-6-7816,2.75,0.0870496658352141,0.5788993769832106
1,p-6-7816,2.75,0.0870496658352141,0.6115932796202064
2,p-6-7816,2.75,0.0870496658352141,0.6003254818724025
3,p-6-7816,2.75,0.0870496658352141,0.6233199687796271
4,p-6-7816,2.75,0.0870496658352141,0.5773360226233285
5,p-6-7816,2.75,0.0870496658352141,0.6246732417225466
6,p-6-7816,2.75,0.0870496658352141,0.6136967448269514
7,p-6-7816,2.75,0.0870496658352141,0.626201133045624
8,p-6-7816,2.75,0.0870496658352141,0.6007441394501405
9,p-6-7816,2.75,0.0870496658352141,0.6175991944546376
10,p-6-7816,2.75,0.0870496658352141,0.5649365474627281
11,p-6-7816,2.75,0.0870496658352141,0.6256932579879327
12,p-6-7816,2.75,0.0870496658352141,0.5760017043156536
13,p-6-7816,2.75,0.0870496658352141,0.5808055845633772
14,p-6-7816,2.75,0.0870496658352141,0.5700306889352763
15,p-6-7816,2.75,0.0870496658352141,0.6190321733428904
16,p-6-7816,2.75,0.0870496658352141,0.6208024948524055
17,p-6-7816,2.75,0.0870496658352141,0.5898870395967822
18,p-6-7816,2.75,0.0870496658352141,0.6218102406470922
19,p-6-7816,2.75,0.0870496658352141,0.6138550856225998
20,p-4-6824,2.75,0.0850166029290856,0.5552622109902147
21,p-4-6824,2.75,0.0850166029290856,0.5456266301792203
22,p-4-6824,2.75,0.0850166029290856,0.446551646480501
23,p-4-6824,2.75,0.0850166029290856,0.5788754567007112
24,p-4-6824,2.75,0.1254678955235675,0.600093276541516
25,p-4-6824,2.75,0.1254678955235675,0.5950980945049843
26,p-4-6824,2.75,0.1254678955235675,0.5938026620204205
27,p-4-6824,2.75,0.12546789552356757,0.6048640218870596
