,trial_name,start_fit,end_fit,start_reward,end_reward,start_flux,end_flux,folder_name,min_period,max_period
21,RPG-12528-29489i0.npz,0.12528408912931438,0.29489196162445597,0.0,0.9328880869057476,5.0,5.297470399895777,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
22,RPG-12528-46688i0.npz,0.12528399120116512,0.4668805116184689,0.0,0.6439789709398474,5.0,4.495855608111468,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
23,RPG-12528-45908i0.npz,0.12528408912931438,0.45908096291691564,0.0,-0.44159611650450403,5.0,4.033538444430045,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
24,RPG-0-0i14.npz,0.0,0.0,0.0,0.0,5.0,5.000000851194689,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
25,RPG-12528-25671i0.npz,0.12528399120116512,0.25670565450614763,0.0,-0.00038405269804627553,5.0,6.005211586333446,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
26,RPG-0-0i19.npz,0.0,0.0,0.0,0.0,5.0,5.000000851194689,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
27,RPG-12528-12528i1.npz,0.12528408912931438,0.12528057016507027,0.0,-4.33885154652458e-05,5.0,6.006031507902414,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
28,RPG-0-0i17.npz,0.0,0.0,0.0,0.0,5.0,5.000000851194689,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
29,RPG-6328-8036i0.npz,0.06327549085913602,0.08036390158834698,0.0,0.11831205087623531,5.0,5.106028930061798,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
30,RPG-8580-42519i0.npz,0.08579551831728435,0.42518945564347793,0.0,-0.004091490706282452,5.0,3.5813289273267843,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
31,RPG-15429-0i2.npz,0.1542927958323239,0.0,0.0,0.0,5.0,6.0039607758994835,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
32,RPG-0-0i8.npz,0.0,0.0,0.0,0.0,5.0,5.00000082757402,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
33,RPG-0-0i1.npz,0.0,0.0,0.0,0.0,5.0,5.00000082757402,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
34,RPG-12528-50111i0.npz,0.12528399120116512,0.5011063557842783,0.0,0.8375825242371576,5.0,4.1610673248177665,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
35,RPG-8580-41321i0.npz,0.08579551831728435,0.4132076737410172,0.0,0.2629980008600799,5.0,3.970613794193395,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
36,RPG-0-0i6.npz,0.0,0.0,0.0,0.0,5.0,5.000000827573175,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
37,RPG-6328-46120i0.npz,0.06327549085913602,0.4612033430096859,0.0,-0.3741332588598743,5.0,4.268308217854351,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
38,RPG-15429-49164i0.npz,0.1542927958323239,0.49164466064723766,0.0,-0.4958837260390243,5.0,3.995391827522599,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
39,RPG-12528-10143i0.npz,0.12528398247521333,0.10143377200752031,0.0,0.0019502496912627975,5.0,6.005645636445182,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
40,RPG-12528-40173i0.npz,0.12528398247521333,0.40172972265105145,0.0,-0.37390191058558403,5.0,4.597394691411655,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
41,RPG-15429-0i1.npz,0.1542927958323239,0.0,0.0,-1.0730703824037846e-05,5.0,6.003908125416936,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
42,RPG-0-0i22.npz,0.0,0.0,0.0,0.0,5.0,5.000001198257403,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
43,RPG-8580-51808i0.npz,0.08579551831728435,0.5180839673201584,0.0,-0.42235685942034934,5.0,3.4877142971864803,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
44,RPG-6328-59395i0.npz,0.06327549085913602,0.5939472605477002,0.0,-0.21865386445019458,5.0,4.896372736872313,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
45,RPG-12528-57179i0.npz,0.12528399120116512,0.571791219446335,0.0,0.7219323032678432,5.0,3.92282717121052,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
46,RPG-0-43806i0.npz,0.0,0.43805670366862887,0.0,0.513114120284716,5.0,3.366284479972576,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
47,RPG-8580-45943i0.npz,0.08579551831728435,0.45943386935702984,0.0,-0.49129687639234704,5.0,3.4823643091557215,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
48,RPG-12528-7088i0.npz,0.12528398247521333,0.07087801170857083,0.0,-0.1385638593328437,5.0,5.504811516659714,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
49,RPG-6328-3971i0.npz,0.06327549085913602,0.039706876196468496,0.0,-0.08012219735223257,5.0,5.434784430201492,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
50,RPG-12528-41485i0.npz,0.12528398247521333,0.4148527988199411,0.0,0.190145005131144,5.0,5.206714743099469,ws.400_lr.0.008_cr.0.004_mnP.300_mxP.600_itF.5.0_mxF.8_D.2000_S.2_gt.RPG_T.0.0_nc.[0],300,600
