start_fit, end_fit, generator, configuration, init_flux, min_period, max_period, window_size, genome_num
0.12421051484749275,0.02983655474917676,RPG,[0],5.0,300,400,400,1
0.0,0.12528408323785312,RPG,[0],5.0,300,400,400,0
0.0,0.5470845358500167,RPG,[0],5.0,300,400,400,0
0.0,0.4734416590417089,RPG,[0],5.0,300,400,400,0
0.12421051484749275,0.12528405621785474,RPG,[0],5.0,300,400,400,1
0.0,0.2657552075635092,RPG,[0],5.0,300,400,400,0
0.12421051484749275,0.056473748353724665,RPG,[0],5.0,300,400,400,1
0.12421051484749275,0.1250717114325211,RPG,[0],5.0,300,400,400,1
0.1255501096466568,0.5324153524854477,RPG,[0],5.0,300,400,400,2
0.0,0.12527966887279568,RPG,[0],5.5,300,400,400,0
0.1255501096466568,0.3440922146354703,RPG,[0],5.0,300,400,400,2
0.1255501096466568,0.0878350119753101,RPG,[0],5.0,300,400,400,2
0.0,0.14224271317431797,RPG,[0],5.5,300,400,400,0
0.1255501096466568,0.34783360104046646,RPG,[0],5.0,300,400,400,2
0.0,0.0,RPG,[0],5.5,300,400,400,0
0.0,0.10257720741953752,RPG,[0],5.5,300,400,400,0
0.12421051484749275,0.46019882597197603,RPG,[0],5.5,300,400,400,1
0.12421051484749275,0.3740046067562879,RPG,[0],5.5,300,400,400,1
0.12421051484749275,0.5378811630569199,RPG,[0],5.5,300,400,400,1
0.1255501096466568,0.2750244442394783,RPG,[0],5.5,300,400,400,2
0.12421051484749275,0.5577778929497088,RPG,[0],5.5,300,400,400,1
0.1255501096466568,0.1548276419984846,RPG,[0],5.5,300,400,400,2
0.1255501096466568,0.5087200392400081,RPG,[0],5.5,300,400,400,2
0.1255501096466568,0.14273574518787288,RPG,[0],5.5,300,400,400,2
0.0,0.12539133492192567,RPG,[0],6.0,300,400,400,0
0.0,0.5011654964909685,RPG,[0],6.0,300,400,400,0
0.0,0.0,RPG,[0],6.0,300,400,400,0
0.0,0.5406028729230625,RPG,[0],6.0,300,400,400,0
0.12421051484749275,0.5763198172640183,RPG,[0],6.0,300,400,400,1
0.12421051484749275,0.397650699529658,RPG,[0],6.0,300,400,400,1
0.12421051484749275,0.41331815490593315,RPG,[0],6.0,300,400,400,1
0.12421051484749275,0.5472832190698755,RPG,[0],6.0,300,400,400,1
0.1255501096466568,0.11134265414632111,RPG,[0],6.0,300,400,400,2
0.1255501096466568,0.39769573032021743,RPG,[0],6.0,300,400,400,2
0.1255501096466568,0.10230391964418481,RPG,[0],6.0,300,400,400,2
0.1255501096466568,0.09205026607652013,RPG,[0],6.0,300,400,400,2
0.0,0.0004086322890932727,RPG,[0],6.5,300,400,400,0
0.0,0.004764122129017216,RPG,[0],6.5,300,400,400,0
0.12421051484749275,0.03154519824831524,RPG,[0],6.5,300,400,400,1
0.0,0.37522846764000695,RPG,[0],6.5,300,400,400,0
0.0,0.31310460284912933,RPG,[0],6.5,300,400,400,0
0.12421051484749275,0.43644982093442436,RPG,[0],6.5,300,400,400,1
0.12421051484749275,0.5800746699985917,RPG,[0],6.5,300,400,400,1
0.12421051484749275,0.5193025786925968,RPG,[0],6.5,300,400,400,1
0.1255501096466568,0.04555546616130526,RPG,[0],6.5,300,400,400,2
0.1255501096466568,0.14367713837912355,RPG,[0],6.5,300,400,400,2
0.1255501096466568,0.09158180671294816,RPG,[0],6.5,300,400,400,2
0.1255501096466568,0.14078647997030916,RPG,[0],6.5,300,400,400,2
0.0,0.12530154783335676,RPG,[0],7.0,300,400,400,0
0.0,0.018120640801125684,RPG,[0],7.0,300,400,400,0
0.12421051484749275,0.0,RPG,[0],7.0,300,400,400,1
0.12421051484749275,0.10757955186342874,RPG,[0],7.0,300,400,400,1
0.0,0.02112640176932128,RPG,[0],7.0,300,400,400,0
0.12421051484749275,0.5508198114449987,RPG,[0],7.0,300,400,400,1
0.0,0.3378371706613897,RPG,[0],7.0,300,400,400,0
0.12421051484749275,0.5502488739883523,RPG,[0],7.0,300,400,400,1
0.1255501096466568,0.006052336924174895,RPG,[0],7.0,300,400,400,2
0.1255501096466568,0.0,RPG,[0],7.0,300,400,400,2
0.0,0.5256261628500797,RPG,[0],5.0,300,600,400,0
0.1255501096466568,0.0,RPG,[0],7.0,300,400,400,2
0.1255501096466568,0.0,RPG,[0],7.0,300,400,400,2
0.0,0.0,RPG,[0],5.0,300,600,400,0
0.0,0.0,RPG,[0],5.0,300,600,400,0
0.0,0.30153246634160535,RPG,[0],5.0,300,600,400,0
0.12421051484749275,0.4723428956431516,RPG,[0],5.0,300,600,400,1
0.12421051484749275,0.527372571921817,RPG,[0],5.0,300,600,400,1
0.12421051484749275,0.03448864857763792,RPG,[0],5.0,300,600,400,1
0.12421051484749275,0.5791501419388876,RPG,[0],5.0,300,600,400,1
0.1255501096466568,0.12503427982739876,RPG,[0],5.0,300,600,400,2
0.1255501096466568,0.25623892713676266,RPG,[0],5.0,300,600,400,2
0.1255501096466568,0.0,RPG,[0],5.0,300,600,400,2
0.1255501096466568,0.14022248575038262,RPG,[0],5.0,300,600,400,2
0.0,0.12574630539029752,RPG,[0],5.5,300,600,400,0
0.0,0.0,RPG,[0],5.5,300,600,400,0
0.0,0.0,RPG,[0],5.5,300,600,400,0
0.0,0.5095394755673761,RPG,[0],5.5,300,600,400,0
0.12421051484749275,0.12528409016635497,RPG,[0],5.5,300,600,400,1
0.12421051484749275,0.3644218037787777,RPG,[0],5.5,300,600,400,1
0.1255501096466568,0.0426538346007302,RPG,[0],5.5,300,600,400,2
0.12421051484749275,0.0,RPG,[0],5.5,300,600,400,1
0.1255501096466568,0.35733138043609847,RPG,[0],5.5,300,600,400,2
0.12421051484749275,0.2497796416720644,RPG,[0],5.5,300,600,400,1
0.1255501096466568,0.36970006585835424,RPG,[0],5.5,300,600,400,2
0.1255501096466568,0.23032005741620543,RPG,[0],5.5,300,600,400,2
0.0,0.26169287351548604,RPG,[0],6.0,300,600,400,0
0.0,0.4306848315160496,RPG,[0],6.0,300,600,400,0
0.0,0.3255096399891195,RPG,[0],6.0,300,600,400,0
0.12421051484749275,0.0,RPG,[0],6.0,300,600,400,1
0.0,0.4530206579249346,RPG,[0],6.0,300,600,400,0
0.12421051484749275,0.46760902433411805,RPG,[0],6.0,300,600,400,1
0.12421051484749275,0.22072283888578428,RPG,[0],6.0,300,600,400,1
0.12421051484749275,0.5113100338595925,RPG,[0],6.0,300,600,400,1
0.1255501096466568,0.1590442554276576,RPG,[0],6.0,300,600,400,2
0.1255501096466568,0.14422208774325454,RPG,[0],6.0,300,600,400,2
0.1255501096466568,0.309363418920808,RPG,[0],6.0,300,600,400,2
0.0,0.18150401386045584,RPG,[0],6.5,300,600,400,0
0.1255501096466568,0.002447432056338654,RPG,[0],6.0,300,600,400,2
0.0,0.45843984549140754,RPG,[0],6.5,300,600,400,0
0.0,0.00034754205383954974,RPG,[0],6.5,300,600,400,0
0.12421051484749275,0.15212777389014515,RPG,[0],6.5,300,600,400,1
0.0,0.03829243411261856,RPG,[0],6.5,300,600,400,0
0.12421051484749275,0.3411015797667675,RPG,[0],6.5,300,600,400,1
0.12421051484749275,0.0,RPG,[0],6.5,300,600,400,1
0.12421051484749275,0.6014909422154392,RPG,[0],6.5,300,600,400,1
0.1255501096466568,0.09068427995902818,RPG,[0],6.5,300,600,400,2
0.1255501096466568,0.12502200094080682,RPG,[0],6.5,300,600,400,2
0.1255501096466568,0.08493534776701517,RPG,[0],6.5,300,600,400,2
0.0,0.5220671328120606,RPG,[0],7.0,300,600,400,0
0.1255501096466568,0.12526440996291643,RPG,[0],6.5,300,600,400,2
0.0,0.21700694434160891,RPG,[0],7.0,300,600,400,0
0.0,0.0688271750903574,RPG,[0],7.0,300,600,400,0
0.0,0.5686263955049499,RPG,[0],7.0,300,600,400,0
